dataset,profile,method,method_label,mean,std,min,max,count
hateful_memes,all_average,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hateful_memes,all_average,ours_influence_only,Teacher-no-loss,10.0,3.4641016151377544,8,14,3
hateful_memes,all_average,ours_kernel_ridge_student,Ours-online-KRR,32.666666666666664,9.018499505645789,24,42,3
hateful_memes,all_average,ours_krr_influence_only,Ours-online-KRR-no-loss,3.6666666666666665,2.0816659994661326,2,6,3
hateful_memes,all_average,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,7.0,5.196152422706632,4,13,3
hateful_memes,all_average,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
hateful_memes,all_average,ours_sample_package_direct,Teacher-pkg-direct,50.0,0.0,50,50,3
hateful_memes,all_average,ours_sample_package_influence_only,Teacher-pkg-no-loss,18.666666666666668,4.618802153517006,16,24,3
hateful_memes,all_average,ours_sample_package_krr,Ours-online-pkg-KRR,31.0,3.605551275463989,27,34,3
hateful_memes,all_average,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,7.333333333333333,5.033222956847166,2,12,3
hateful_memes,all_average,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,29.0,1.7320508075688772,28,31,3
hateful_memes,all_average,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,49.333333333333336,0.5773502691896263,49,50,3
hateful_memes,all_average,ours_sample_package_task_operator,Ours-online-pkg-task,30.666666666666668,9.814954576223638,25,42,3
hateful_memes,all_average,ours_task_operator,Ours-online-task,15.0,3.0,12,18,3
hateful_memes,coreset_far_wrong,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hateful_memes,coreset_far_wrong,ours_influence_only,Teacher-no-loss,50.0,0.0,50,50,3
hateful_memes,coreset_far_wrong,ours_kernel_ridge_student,Ours-online-KRR,46.0,3.0,43,49,3
hateful_memes,coreset_far_wrong,ours_krr_influence_only,Ours-online-KRR-no-loss,38.666666666666664,2.0816659994661326,37,41,3
hateful_memes,coreset_far_wrong,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,6.333333333333333,3.5118845842842465,3,10,3
hateful_memes,coreset_far_wrong,ours_loss_reduction_only,Teacher-no-influence,45.0,4.0,41,49,3
hateful_memes,coreset_far_wrong,ours_sample_package_direct,Teacher-pkg-direct,50.0,0.0,50,50,3
hateful_memes,coreset_far_wrong,ours_sample_package_influence_only,Teacher-pkg-no-loss,50.0,0.0,50,50,3
hateful_memes,coreset_far_wrong,ours_sample_package_krr,Ours-online-pkg-KRR,46.333333333333336,3.055050463303893,43,49,3
hateful_memes,coreset_far_wrong,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,44.666666666666664,2.0816659994661326,43,47,3
hateful_memes,coreset_far_wrong,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,18.666666666666668,4.04145188432738,15,23,3
hateful_memes,coreset_far_wrong,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,48.333333333333336,0.5773502691896263,48,49,3
hateful_memes,coreset_far_wrong,ours_sample_package_task_operator,Ours-online-pkg-task,39.666666666666664,6.429100507328636,35,47,3
hateful_memes,coreset_far_wrong,ours_task_operator,Ours-online-task,28.0,11.269427669584644,21,41,3
hateful_memes,cosine,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hateful_memes,cosine,ours_influence_only,Teacher-no-loss,49.0,0.0,49,49,3
hateful_memes,cosine,ours_kernel_ridge_student,Ours-online-KRR,43.0,3.4641016151377544,39,45,3
hateful_memes,cosine,ours_krr_influence_only,Ours-online-KRR-no-loss,30.0,7.54983443527075,23,38,3
hateful_memes,cosine,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,36.0,2.0,34,38,3
hateful_memes,cosine,ours_loss_reduction_only,Teacher-no-influence,48.666666666666664,2.3094010767585034,46,50,3
hateful_memes,cosine,ours_sample_package_direct,Teacher-pkg-direct,50.0,0.0,50,50,3
