dataset,profile,method,seed,selected_rows,good_count,good_ratio,downstream_gain_mean,harm_score_mean,loss_reduction_mean,influence_gain_mean,collapse_to_single_digits,scoring_semantics,online_scoring_uses_downstream_model,sample_packaging_enabled,package_size,sample_packaging_stage,sample_package_summary,seller_packaging_rule,package_count,package_size_min,package_size_max,scored_objects,student_calibration_size,student_landmark_count,student_sigma2,student_supervision,eval_time,test_auroc,test_macro_f1,test_acc,type_coreset_far_wrong_decoy,type_kmeans_center_decoy,type_typiclust_dense_decoy,type_uncertainty_badge_decoy,ckks_simd_enabled,ckks_scheme,ckks_reference_rows,ckks_reference_dim,ckks_reference_package_size,ckks_rows_per_second_mean,ckks_est_encrypted_compute_ms,ckks_scaled_from_reference_ms,ckks_est_input_prepare_encrypt_ms,ckks_est_decrypt_decode_ms,ckks_est_total_full_flow_ms,ckks_ref_input_prepare_encrypt_ms_mean,ckks_ref_encrypted_compute_ms_mean,ckks_ref_decrypt_decode_ms_mean,ckks_ref_total_full_flow_ms_mean,ckks_ref_rows_per_second_mean,ckks_ref_scored_objects_per_second_mean,ckks_ref_output_ciphertexts_mean,ckks_ref_decoded_values_mean,ckks_ref_input_ciphertexts_mean,ckks_ref_input_ciphertext_bytes_mean,ckks_ref_output_ciphertext_bytes_mean,ckks_ref_total_communication_bytes_mean,ckks_ref_ct_ct_mults_mean,ckks_ref_ct_pt_mults_mean,ckks_ref_rotations_mean,ckks_ref_additions_mean,ckks_ref_relinearizations_mean,ckks_ref_rescales_mean,ckks_ref_scored_objects,ckks_ref_raw_rows_per_scored_object,primary_metric,primary_metric_value,type_cosine_decoy,type_useful_clean,package_size_sweep,run_seed,type_noise_decoy
hateful_memes,noise,ours_sample_package_krr,42,48,46,0.9583333333333334,3.056881666183472,-3.056881666183472,0.0003028834762517,0.0273210052400827,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.9174745082855223,top_quantile,0.0,,,,1.0,13.0,21.0,13.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,46.0,,,2,42,
hateful_memes,coreset_far_wrong,ours_sample_package_krr,42,48,40,0.8333333333333334,2.531710624694824,-2.531710624694824,0.0002617624995764,0.0214345213025808,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.9174745082855223,top_quantile,0.0,,,,4.0,16.0,17.0,11.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,40.0,,,2,42,
hateful_memes,typiclust_dense,ours_sample_package_krr,42,48,19,0.3958333333333333,1.6039485931396484,-1.6039485931396484,0.0001566745340824,0.0172377023845911,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.9174745082855223,top_quantile,0.0,,,,,10.0,30.0,8.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,19.0,,,2,42,
hateful_memes,kmeans_center,ours_sample_package_krr,42,48,18,0.375,1.1377819776535034,-1.1377819776535034,0.0001228799374075,0.0114952092990279,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.9174745082855223,top_quantile,0.0,,,,,31.0,11.0,6.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,18.0,,,2,42,
hateful_memes,uncertainty_badge,ours_sample_package_krr,42,48,36,0.75,2.569243192672729,-2.569243192672729,0.0002515638771001,0.0243666414171457,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.9174745082855223,top_quantile,0.0,,,,,12.0,17.0,19.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,36.0,,,2,42,
hateful_memes,cosine,ours_sample_package_krr,42,48,41,0.8541666666666666,2.517788887023926,-2.517788887023926,0.0002609292569104,0.0212293658405542,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.9174745082855223,top_quantile,0.0,,,,,18.0,21.0,8.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,41.0,1.0,,2,42,
hateful_memes,all_average,ours_sample_package_krr,42,48,28,0.5833333333333334,0.6733846068382263,-0.6733846068382263,0.0001109627410187,0.0016167890280485,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,0.9174745082855223,top_quantile,0.0,,,,1.0,23.0,14.0,10.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,28.0,,,2,42,
hatespeech,noise,ours_sample_package_krr,142,48,48,1.0,3.1805992126464844,-3.1805992126464844,0.0002394579350948,0.0803686827421188,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0360314846038818,top_quantile,0.0,,,,,23.0,20.0,5.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,,,2,42,
hatespeech,coreset_far_wrong,ours_sample_package_krr,142,48,48,1.0,3.354761838912964,-3.354761838912964,0.0002573430538177,0.0805137082934379,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0360314846038818,top_quantile,0.0,,,,,19.0,22.0,7.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,48.0,,,2,42,
hatespeech,typiclust_dense,ours_sample_package_krr,142,48,30,0.625,1.954849362373352,-1.954849362373352,0.0001650887279538,0.0506265647709369,0,online_student,0,1,2,buyer_pca_synchronized_indices,mean_seller_phi_by_buyer_membership,reuse_buyer_package_membership,2496,2,2,2496,28000,1000,1.0360314846038818,top_quantile,0.0,,,,,16.0,24.0,8.0,1,ours_student_pkg_ctpt,10000.0,64.0,2.0,839113.920474,5.949132624542936,5.952201216,36.0482304,0.501436416,42.501868032,72.212,11.92348,1.00448,85.13996,839113.920474,419556.960237,2.0,8192.0,20.0,6686676.0,470643.0,7157319.0,0.0,20.0,0.0,20.0,0.0,20.0,5000.0,2.0,good_count,30.0,,,2,42,
