scheme,poly_modulus_degree,coeff_modulus_bits,scale_bits,slot_count,logical_rows,chunks,scored_objects,raw_rows_per_scored_object,feature_dim,student_summary_dim,package_size,repeat,input_prepare_encrypt_ms,encrypted_compute_ms,decrypt_decode_ms,total_full_flow_ms,threshold_parties,rows_per_second,scored_objects_per_second,output_ciphertexts,decoded_values,input_ciphertexts,input_ciphertext_bytes,output_ciphertext_bytes,total_communication_bytes,ct_ct_mults,ct_pt_mults,rotations,additions,relinearizations,rescales,reference_count,poly_degree,ctct_nonlinear_depth
baseline_random_noop,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,0,0.000000,0.000700,0.000000,0.000700,3,7142857142.857143,7142857142.857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline_random_noop,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,1,0.000000,0.000500,0.000000,0.000500,3,10000000000.000000,10000000000.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline_random_noop,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,2,0.000000,0.000400,0.000000,0.000400,3,12499999999.999998,12499999999.999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline_cosine_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,0,679.901900,137.067900,3.233000,820.202800,3,36478.270988,36478.270988,2,8192,128,50874754,653655,51528409,0,128,0,126,0,128,0,0,0
baseline_cosine_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,1,679.901900,132.426900,2.216700,814.545500,3,37756.679345,37756.679345,2,8192,128,50874754,653655,51528409,0,128,0,126,0,128,0,0,0
baseline_cosine_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,2,679.901900,178.267500,2.202400,860.371800,3,28047.737249,28047.737249,2,8192,128,50874754,653655,51528409,0,128,0,126,0,128,0,0,0
baseline_uncertainty_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,0,679.901900,153.602100,0.443900,833.947900,3,32551.638291,32551.638291,2,8192,128,50874754,218969,51093723,4,132,0,130,4,136,0,4,2
baseline_uncertainty_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,1,679.901900,152.614000,0.427500,832.943400,3,32762.394014,32762.394014,2,8192,128,50874754,218969,51093723,4,132,0,130,4,136,0,4,2
baseline_uncertainty_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,2,679.901900,147.014600,0.432000,827.348500,3,34010.227556,34010.227556,2,8192,128,50874754,218969,51093723,4,132,0,130,4,136,0,4,2
baseline_coreset_all_distances_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,0,679.901900,110390.222100,1854.072500,112924.196500,3,45.293867,45.293867,1600,6553600,128,50874754,522346676,573221430,0,102400,0,102400,0,102400,800,0,0
baseline_coreset_all_distances_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,1,679.901900,144483.595500,1987.575600,147151.073000,3,34.606005,34.606005,1600,6553600,128,50874754,522346676,573221430,0,102400,0,102400,0,102400,800,0,0
baseline_coreset_all_distances_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,2,679.901900,115388.581500,2131.180700,118199.664100,3,43.331844,43.331844,1600,6553600,128,50874754,522346676,573221430,0,102400,0,102400,0,102400,800,0,0
baseline_badge_components_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,0,679.901900,177759.225700,439.144500,178878.272100,3,28.127935,28.127935,1602,6561792,128,50874754,175494151,226368905,4804,108932,0,108930,4804,113736,800,4,2
baseline_badge_components_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,1,679.901900,164359.813300,347.272900,165386.988100,3,30.421062,30.421062,1602,6561792,128,50874754,175494151,226368905,4804,108932,0,108930,4804,113736,800,4,2
baseline_badge_components_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,2,679.901900,134798.121000,421.649300,135899.672200,3,37.092505,37.092505,1602,6561792,128,50874754,175494151,226368905,4804,108932,0,108930,4804,113736,800,4,2
baseline_kmeans_all_distances_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,0,679.901900,2900.992600,46.864900,3627.759400,3,1723.548002,1723.548002,40,163840,128,50874754,13047775,63922529,0,2560,0,2560,0,2560,20,0,0
baseline_kmeans_all_distances_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,1,679.901900,3007.312000,47.733100,3734.947000,3,1662.614321,1662.614321,40,163840,128,50874754,13047775,63922529,0,2560,0,2560,0,2560,20,0,0
baseline_kmeans_all_distances_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,2,679.901900,2842.671200,47.242900,3569.816000,3,1758.909015,1758.909015,40,163840,128,50874754,13047775,63922529,0,2560,0,2560,0,2560,20,0,0
baseline_typiclust_sqrt_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,0,679.901900,1351.656400,0.493600,2032.051900,3,3699.164965,3699.164965,2,8192,128,50874754,219217,51093971,48,1088,0,1102,48,1136,8,4,2
baseline_typiclust_sqrt_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,1,679.901900,1535.629400,0.560000,2216.091300,3,3255.993927,3255.993927,2,8192,128,50874754,219217,51093971,48,1088,0,1102,48,1136,8,4,2
baseline_typiclust_sqrt_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,2,679.901900,1453.444700,0.473100,2133.819700,3,3440.103363,3440.103363,2,8192,128,50874754,219217,51093971,48,1088,0,1102,48,1136,8,4,2
ours_krr_row_exp_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,0,679.901900,178798.413800,0.535500,179478.851200,3,27.964454,27.964454,2,8192,128,50874754,219009,51093763,6000,136000,0,137998,6000,142000,1000,4,2
ours_krr_row_exp_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,1,679.901900,172154.828400,0.586000,172835.316300,3,29.043623,29.043623,2,8192,128,50874754,219009,51093763,6000,136000,0,137998,6000,142000,1000,4,2
ours_krr_row_exp_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,5000,1,64,10,2,2,679.901900,174035.798100,0.476400,174716.176400,3,28.729721,28.729721,2,8192,128,50874754,219009,51093763,6000,136000,0,137998,6000,142000,1000,4,2
ours_krr_pkg_exp_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,2500,2,64,10,2,0,327.964200,110058.056100,0.281900,110386.302200,3,45.430568,22.715284,1,4096,64,25433183,109693,25542876,3000,68000,0,68999,3000,71000,1000,4,2
ours_krr_pkg_exp_poly4_ctpt,8192,45-32-32-32-32-45,32,4096,5000,2,2500,2,64,10,2,1,327.964200,106849.502900,0.606900,107178.074000,3,46.794790,23.397395,1,4096,64,25433183,109693,25542876,3000,68000,0,68999,3000,71000,1000,4,2
